No,物件種目,住所,登録価格（万円）,成約価格（万円）,交通,土地権利,建ぺい率,用途地域,坪単価（万円）,容積率,土地面積（㎡）,土地面積（坪）,公開日,成約日,私道面積,私道持分,条件
446,売地,掛川市満水1-3他,718,718,東海道本線,所有権,60,１種住居,7.8,200,310.27,92,2024/2/10,2024/3/9,-,-,現況渡し
447,売地,掛川市満水86-1,1000,1000,東海道本線,所有権,60,工業地域,7.2,200,464,138,2024/11/2,2024/11/9,-,-,現況渡し
462,売地,掛川市弥生町,980,980,バス停,所有権,50,１種低層,19.2,80,171.63,51,2024/12/12,2024/12/23,-,-,更地渡し
480,売地,掛川市和光３丁目,1194,1140,東海道本線,所有権,50,-,22.4,100,179,53,2024/4/5,2024/5/27,-,-,相談
542,売地,袋井市旭町１丁目2-5,1700,1350,東海道本線/バス停,所有権,60,２種中高,22.3,200,256,76,2023/11/18,2023/11/20,-,-,更地渡し
543,売地,袋井市旭町２丁目4番1013号地,1390,1390,東海道本線/バス停,所有権,70,２種中高,51.2,200,91.13,27,2025/2/17,2025/2/24,-,-,建築条件付
545,売地,袋井市岡崎3315-5,650,580,東海道本線,所有権,60,無指定,5.1,200,428.11,127,2023/10/31,-,-,-,現況渡し
544,売地,袋井市岡崎6010,480,480,東海道本線,所有権,60,無指定,5.4,200,299.94,89,2023/11/4,2023/12/19,-,-,相談
550,売地,袋井市萱間606-1の一部,363,350,東海道本線,所有権,60,無指定,3.9,200,308.75,92,2024/10/19,-,-,-,現況渡し
549,売地,袋井市萱間802,330,330,天竜浜名湖鉄道/バス停/バス停/バス停,所有権,60,無指定,3.3,200,334.33,100,2025/2/8,2025/3/25,-,-,現況渡し
555,売地,袋井市久能1538-1,1200,1200,東海道本線,所有権,50,１種低層,16.4,80,246.4,73,2024/1/25,2024/2/24,-,-,現況渡し
554,売地,袋井市久能1543-1久能①,990,990,東海道本線,所有権,50,１種低層,16.9,80,197,59,2024/7/9,2024/7/27,-,-,現況渡し
559,売地,袋井市久能2568-1No.92,1298,1250,東海道本線/バス停,所有権,60,無指定,21.8,200,200.18,60,2023/7/19,2023/9/4,-,-,現況渡し
557,売地,袋井市久能２５６８－７３他７８,1265,1265,東海道本線/バス停,所有権,60,無指定,20.9,200,203.12,60,2024/1/5,2024/2/28,-,-,現況渡し
558,売地,袋井市久能2585-1の内48号地,1276,1276,東海道本線,所有権,60,１種住居,19.9,200,215.48,64,2023/10/30,2023/11/20,-,-,現況渡し
